日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-13,8.98,8.02,9.18,7.95,93678,408793942.0,17.13,11.7,0.84,69.14
2011-01-14,7.98,8.05,8.23,7.81,40157,170745614.0,5.24,0.37,0.03,29.64
2011-01-17,7.97,8.22,8.25,7.4,34974,143744915.0,10.56,2.11,0.17,25.81
2011-01-18,8.1,7.96,8.13,7.88,21099,88990910.0,3.04,-3.16,-0.26,15.57
2011-01-19,7.96,8.22,8.22,7.64,28181,116985498.0,7.29,3.27,0.26,20.8
2011-01-20,8.01,7.74,8.03,7.74,22579,94133088.0,3.53,-5.84,-0.48,16.66
2011-01-21,7.58,7.49,7.7,7.42,14494,57754171.0,3.62,-3.23,-0.25,10.7
2011-01-24,7.46,7.16,7.61,7.16,13317,51521802.0,6.01,-4.41,-0.33,9.83
2011-01-25,7.06,7.05,7.15,6.97,8198,30567915.0,2.51,-1.54,-0.11,6.05
2011-01-26,7.09,7.38,7.42,7.05,10720,41414758.0,5.25,4.68,0.33,7.91
2011-01-27,7.32,7.41,7.45,7.19,6639,25785806.0,3.52,0.41,0.03,4.9
2011-01-28,7.46,7.77,7.85,7.44,11475,46268750.0,5.53,4.86,0.36,8.47
2011-01-31,7.68,7.69,7.89,7.53,10440,42620522.0,4.63,-1.03,-0.08,7.71
2011-02-01,7.72,7.74,7.82,7.59,5362,21783717.0,2.99,0.65,0.05,3.96
2011-02-09,7.75,7.55,7.88,7.49,6515,26432917.0,5.04,-2.45,-0.19,4.81
2011-02-10,7.57,7.83,7.87,7.48,8735,35721354.0,5.17,3.71,0.28,6.45
2011-02-14,7.9,7.83,7.96,7.75,13981,57812214.0,2.68,0.0,0.0,10.32
2011-02-15,7.85,7.76,7.87,7.75,9091,37393229.0,1.53,-0.89,-0.07,6.71
2011-02-16,7.71,7.91,7.94,7.68,9761,40337614.0,3.35,1.93,0.15,7.2
2011-02-17,7.98,7.81,7.98,7.75,8970,37098215.0,2.91,-1.26,-0.1,6.62
2011-02-18,7.75,7.76,7.91,7.72,8763,36050337.0,2.43,-0.64,-0.05,6.47
2011-02-21,7.75,8.04,8.13,7.72,12279,51409243.0,5.28,3.61,0.28,9.06
2011-02-22,8.02,7.54,8.07,7.54,14670,60186527.0,6.59,-6.22,-0.5,10.83
2011-02-23,7.51,7.63,7.68,7.5,6241,24996970.0,2.39,1.19,0.09,4.61
2011-02-24,7.63,7.85,7.88,7.63,13884,56957148.0,3.28,2.88,0.22,10.25
2011-02-25,7.85,7.71,7.86,7.7,6037,24671917.0,2.04,-1.78,-0.14,4.46
2011-02-28,7.73,7.77,7.83,7.62,5605,22962925.0,2.72,0.78,0.06,4.14
2011-03-01,7.78,7.85,7.91,7.74,6154,25403773.0,2.19,1.03,0.08,4.54
2011-03-02,7.78,7.72,7.82,7.61,4812,19521234.0,2.68,-1.66,-0.13,3.55
2011-03-03,7.72,7.45,7.72,7.44,9092,36319597.0,3.63,-3.5,-0.27,6.71
2011-03-04,7.45,7.52,7.56,7.4,5583,21963415.0,2.15,0.94,0.07,4.12
2011-03-07,7.53,7.55,7.57,7.48,4633,18431383.0,1.2,0.4,0.03,3.42
2011-03-08,7.52,7.55,7.57,7.48,3714,14758909.0,1.19,0.0,0.0,2.74
2011-03-09,7.53,7.63,7.65,7.46,5169,20618371.0,2.52,1.06,0.08,3.81
2011-03-10,7.6,7.83,7.89,7.58,14178,58424934.0,4.06,2.62,0.2,10.46
2011-03-11,7.85,7.95,8.03,7.78,11161,46525645.0,3.19,1.53,0.12,8.24
2011-03-14,7.94,8.34,8.42,7.86,16099,70000155.0,7.04,4.91,0.39,11.88
2011-03-15,8.28,8.17,8.29,8.0,11230,47846513.0,3.48,-2.04,-0.17,8.29
2011-03-16,8.16,8.06,8.22,8.0,9520,40445778.0,2.69,-1.35,-0.11,7.03
2011-03-17,8.1,7.86,8.23,7.81,8094,34228630.0,5.21,-2.48,-0.2,5.97
2011-03-18,7.95,7.91,8.03,7.84,4310,17942296.0,2.42,0.64,0.05,3.18
2011-03-21,7.92,7.91,7.98,7.82,3341,13890685.0,2.02,0.0,0.0,2.47
2011-03-22,7.94,7.71,7.97,7.68,5544,22653243.0,3.67,-2.53,-0.2,4.09
2011-03-23,7.71,7.82,7.86,7.7,4908,20242068.0,2.08,1.43,0.11,3.62
2011-03-24,7.87,7.83,7.95,7.78,3177,13168947.0,2.17,0.13,0.01,2.34
2011-03-25,7.83,7.9,7.95,7.82,5424,22552830.0,1.66,0.89,0.07,4.0
2011-03-28,7.95,7.66,8.05,7.64,6771,27921765.0,5.19,-3.04,-0.24,5.0
2011-03-29,7.66,7.46,7.68,7.34,6956,27321361.0,4.44,-2.61,-0.2,5.13
2011-03-30,7.2,7.06,7.2,7.0,8520,31999203.0,2.68,-5.36,-0.4,6.29
2011-03-31,7.02,6.84,7.14,6.78,7522,27675960.0,5.1,-3.12,-0.22,5.55
2011-04-01,6.87,6.93,6.95,6.81,4206,15351747.0,2.05,1.32,0.09,3.1
2011-04-06,6.89,6.81,6.89,6.78,3606,13070330.0,1.59,-1.73,-0.12,2.66
2011-04-07,6.78,6.92,6.95,6.76,5625,20450838.0,2.79,1.62,0.11,4.15
2011-04-08,6.93,6.95,6.96,6.86,4009,14712081.0,1.45,0.43,0.03,2.96
2011-04-11,6.95,6.78,7.01,6.74,5447,19800903.0,3.88,-2.45,-0.17,4.02
2011-04-12,6.8,6.57,6.8,6.54,10377,36586962.0,3.83,-3.1,-0.21,7.66
2011-04-13,6.59,6.66,6.71,6.56,5777,20423314.0,2.28,1.37,0.09,3.44
2011-04-14,6.66,6.66,6.69,6.62,3594,12724593.0,1.05,0.0,0.0,2.14
2011-04-15,6.66,6.48,6.69,6.45,6133,21281671.0,3.6,-2.7,-0.18,3.65
2011-04-18,6.53,6.42,6.53,6.36,8963,30558348.0,2.62,-0.93,-0.06,5.33
2011-04-19,6.41,6.47,6.51,6.37,7085,24334183.0,2.18,0.78,0.05,4.22
2011-04-21,6.48,6.56,6.63,6.48,5700,19927243.0,2.32,1.39,0.09,3.39
2011-04-22,6.56,6.52,6.56,6.42,4067,14030363.0,2.13,-0.61,-0.04,2.42
2011-04-25,6.0,5.82,6.09,5.82,16765,52663471.0,4.14,-10.74,-0.7,9.98
2011-04-26,5.62,5.51,5.62,5.48,8392,24951873.0,2.41,-5.33,-0.31,5.0
2011-04-27,5.51,5.16,5.55,5.03,19551,55522189.0,9.44,-6.35,-0.35,11.64
2011-04-28,5.18,5.02,5.18,4.98,9674,26541603.0,3.88,-2.71,-0.14,5.76
2011-04-29,5.01,5.07,5.09,5.0,5200,14208875.0,1.79,1.0,0.05,3.1
2011-05-03,5.07,5.07,5.08,5.0,6036,16487225.0,1.58,0.0,0.0,3.59
2011-05-04,5.07,4.92,5.07,4.92,5347,14397518.0,2.96,-2.96,-0.15,3.18
2011-05-05,4.92,4.94,5.0,4.85,4770,12787819.0,3.05,0.41,0.02,2.84
2011-05-06,4.92,4.97,5.01,4.88,3903,10504728.0,2.63,0.61,0.03,2.32
2011-05-09,4.98,5.0,5.09,4.96,6235,16971117.0,2.62,0.6,0.03,3.71
2011-05-10,5.02,4.99,5.02,4.93,3765,10151440.0,1.8,-0.2,-0.01,2.24
2011-05-11,5.01,5.09,5.11,4.96,7088,19367452.0,3.01,2.0,0.1,4.22
2011-05-12,5.05,4.92,5.06,4.91,5328,14413725.0,2.95,-3.34,-0.17,3.17
2011-05-13,4.94,4.92,4.99,4.88,3854,10293253.0,2.24,0.0,0.0,2.29
2011-05-16,4.87,4.9,4.93,4.87,3281,8746461.0,1.22,-0.41,-0.02,1.95
2011-05-17,4.92,4.82,4.92,4.76,4563,11959559.0,3.27,-1.63,-0.08,2.72
2011-05-18,4.82,4.8,4.85,4.8,3619,9485745.0,1.04,-0.41,-0.02,2.15
2011-05-19,4.81,4.75,4.84,4.74,3913,10200178.0,2.08,-1.04,-0.05,2.33
2011-05-20,4.75,4.64,4.77,4.59,4955,12657058.0,3.79,-2.32,-0.11,2.95
2011-05-23,4.63,4.38,4.63,4.37,6235,15280564.0,5.6,-5.6,-0.26,3.71
2011-05-24,4.34,4.7,4.8,4.33,12395,30952384.0,10.73,7.31,0.32,7.38
2011-05-25,4.64,4.47,4.7,4.46,5332,13298066.0,5.11,-4.89,-0.23,3.17
2011-05-26,4.48,4.42,4.56,4.41,3070,7508981.0,3.36,-1.12,-0.05,1.83
2011-05-27,4.43,4.43,4.49,4.34,3799,9198866.0,3.39,0.23,0.01,2.26
2011-05-30,4.43,4.51,4.59,4.38,4589,11349641.0,4.74,1.81,0.08,2.73
2011-05-31,4.51,4.62,4.64,4.48,4782,11965224.0,3.55,2.44,0.11,2.85
2011-06-02,4.54,4.49,4.57,4.42,4362,10704596.0,3.25,-2.81,-0.13,2.6
2011-06-03,4.47,4.55,4.57,4.44,3205,7949503.0,2.9,1.34,0.06,1.91
2011-06-07,4.55,4.56,4.6,4.52,2712,6749987.0,1.76,0.22,0.01,1.61
2011-06-08,4.56,4.53,4.56,4.44,2326,5711328.0,2.63,-0.66,-0.03,1.38
2011-06-09,4.49,4.42,4.53,4.42,2738,6676106.0,2.43,-2.43,-0.11,1.63
2011-06-10,4.41,4.4,4.44,4.33,2305,5534351.0,2.49,-0.45,-0.02,1.37
2011-06-13,4.35,4.43,4.43,4.3,1801,4329300.0,2.95,0.68,0.03,1.07
2011-06-14,4.43,4.48,4.49,4.42,2040,4992060.0,1.58,1.13,0.05,1.21
2011-06-15,4.48,4.4,4.56,4.4,2781,6781169.0,3.57,-1.79,-0.08,1.66
2011-06-16,4.38,4.31,4.41,4.31,2478,5890903.0,2.27,-2.05,-0.09,1.47
2011-06-17,4.34,4.37,4.45,4.32,4592,11068199.0,3.02,1.39,0.06,2.73
2011-06-20,4.4,4.42,4.46,4.35,3622,8745127.0,2.52,1.14,0.05,2.16
2011-06-21,4.45,4.37,4.47,4.3,5626,13441452.0,3.85,-1.13,-0.05,3.35
2011-06-22,4.37,4.27,4.37,4.24,4561,10731294.0,2.97,-2.29,-0.1,2.72
2011-06-23,4.22,4.38,4.39,4.1,8091,19094670.0,6.79,2.58,0.11,4.82
2011-06-24,4.35,4.52,4.55,4.33,8991,21924826.0,5.02,3.2,0.14,5.35
2011-06-27,4.53,4.57,4.61,4.53,7361,18389848.0,1.77,1.11,0.05,4.38
2011-06-28,4.61,4.55,4.61,4.52,3257,8096321.0,1.97,-0.44,-0.02,1.94
