日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-01-16,4.14,4.98,4.98,4.14,13130,8507921.0,24.35,44.35,1.53,0.29
2019-01-17,5.48,5.48,5.48,5.48,16685,11946517.0,0.0,10.04,0.5,0.37
2019-01-18,6.03,5.86,6.03,5.58,2317166,1756897984.0,8.21,6.93,0.38,51.38
2019-01-21,5.67,5.33,5.7,5.29,1624245,1147984208.0,7.0,-9.04,-0.53,36.02
2019-01-22,5.22,5.15,5.26,5.13,949218,642082080.0,2.44,-3.38,-0.18,21.05
2019-01-23,5.13,5.03,5.18,5.0,808554,536168128.0,3.5,-2.33,-0.12,17.93
2019-01-24,5.02,5.1,5.23,4.86,1166325,764749616.0,7.36,1.39,0.07,25.86
2019-01-25,5.03,4.93,5.1,4.93,738316,484430416.0,3.33,-3.33,-0.17,16.37
2019-01-28,4.95,4.73,4.96,4.72,720422,453341920.0,4.87,-4.06,-0.2,15.97
2019-01-29,4.71,4.7,4.78,4.6,491821,302124016.0,3.81,-0.63,-0.03,10.91
2019-01-30,4.67,4.62,4.73,4.62,314508,192270819.0,2.34,-1.7,-0.08,6.97
2019-01-31,4.63,4.5,4.69,4.48,479122,287871984.0,4.55,-2.6,-0.12,10.62
2019-02-01,4.53,4.54,4.55,4.49,307308,181733613.0,1.33,0.89,0.04,6.81
2019-02-11,4.55,4.66,4.68,4.54,469761,282999360.0,3.08,2.64,0.12,10.42
2019-02-12,4.66,4.67,4.71,4.63,472662,288858480.0,1.72,0.21,0.01,10.48
2019-02-13,4.66,4.74,4.76,4.63,700855,430993520.0,2.78,1.5,0.07,15.54
2019-02-14,4.72,4.71,4.76,4.7,428258,264035837.0,1.27,-0.63,-0.03,9.5
2019-02-15,4.7,4.64,4.7,4.63,422766,258173858.0,1.49,-1.49,-0.07,9.37
2019-02-18,4.66,4.73,4.76,4.64,645097,396870656.0,2.59,1.94,0.09,14.3
2019-02-19,4.73,4.79,4.89,4.69,1033539,647690352.0,4.23,1.27,0.06,22.92
2019-02-20,4.74,4.72,4.76,4.69,517754,319655904.0,1.46,-1.46,-0.07,11.48
2019-02-21,4.7,4.69,4.74,4.67,440043,270643312.0,1.48,-0.64,-0.03,9.76
2019-02-22,4.67,4.91,5.01,4.64,1155336,725483424.0,7.89,4.69,0.22,25.62
2019-02-25,5.0,5.4,5.4,4.9,1990807,1338823216.0,10.18,9.98,0.49,44.14
2019-02-26,5.63,5.42,5.65,5.36,1937851,1393894368.0,5.37,0.37,0.02,42.97
2019-02-27,5.33,5.96,5.96,5.29,2356731,1762175664.0,12.36,9.96,0.54,52.26
2019-02-28,5.88,5.86,6.23,5.74,1779477,1392823200.0,8.22,-1.68,-0.1,39.46
2019-03-01,5.84,5.74,5.95,5.35,1287144,948134464.0,10.24,-2.05,-0.12,28.54
2019-03-04,5.74,6.04,6.32,5.68,2222168,1764634544.0,11.15,5.23,0.3,49.27
2019-03-05,5.84,6.0,6.07,5.82,1327545,1028298432.0,4.14,-0.66,-0.04,29.44
2019-03-06,6.01,6.34,6.47,5.92,1799775,1463304784.0,9.17,5.67,0.34,39.91
2019-03-07,6.37,6.98,6.98,6.21,1511691,1314147536.0,12.15,10.09,0.64,33.52
2019-03-08,6.51,6.28,6.94,6.28,1696607,1461807296.0,9.46,-10.03,-0.7,37.62
2019-03-11,6.22,6.28,6.38,5.84,903409,721173648.0,8.6,0.0,0.0,20.03
2019-03-12,6.28,6.28,6.53,6.16,848779,702699744.0,5.89,0.0,0.0,18.82
2019-03-13,6.32,5.96,6.32,5.9,737325,581050496.0,6.69,-5.1,-0.32,16.35
2019-03-14,5.88,5.73,6.01,5.63,538952,408896944.0,6.38,-3.86,-0.23,11.95
2019-03-15,5.79,5.73,5.84,5.68,438610,330137872.0,2.79,0.0,0.0,9.73
2019-03-18,5.76,5.97,6.05,5.6,678737,522488256.0,7.85,4.19,0.24,15.05
2019-03-19,5.96,5.93,6.01,5.86,467191,362830880.0,2.51,-0.67,-0.04,10.36
2019-03-20,5.9,6.22,6.28,5.88,835584,663120704.0,6.75,4.89,0.29,18.53
2019-03-21,6.29,6.19,6.45,6.14,912381,748710448.0,4.98,-0.48,-0.03,20.23
2019-03-22,6.13,5.98,6.17,5.9,604172,474003968.0,4.36,-3.39,-0.21,13.4
2019-03-25,5.83,5.74,5.87,5.69,499683,378002544.0,3.01,-4.01,-0.24,11.08
2019-03-26,5.77,5.7,5.83,5.63,329570,246382552.0,3.48,-0.7,-0.04,7.31
2019-03-27,5.73,5.75,5.8,5.66,270008,202323006.0,2.46,0.88,0.05,5.99
2019-03-28,5.7,5.56,5.71,5.55,319696,235066115.0,2.78,-3.3,-0.19,7.09
2019-03-29,5.58,5.85,5.97,5.56,605577,459049184.0,7.37,5.22,0.29,13.43
