日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.89,3.82,3.91,3.76,47601,50241064.0,3.85,-2.05,-0.08,2.23
2010-01-05,3.78,3.67,3.85,3.57,63520,64871236.0,7.33,-3.93,-0.15,2.98
2010-01-06,3.67,3.67,3.78,3.62,43490,44582352.0,4.36,0.0,0.0,2.04
2010-01-07,3.67,3.63,3.73,3.57,45732,46420508.0,4.36,-1.09,-0.04,2.15
2010-01-08,3.57,3.7,3.71,3.56,35431,36197868.0,4.13,1.93,0.07,1.66
2010-01-11,3.77,3.63,3.81,3.61,39073,39923968.0,5.41,-1.89,-0.07,1.83
2010-01-12,3.62,3.69,3.72,3.57,45547,46291388.0,4.13,1.65,0.06,2.14
2010-01-13,3.57,3.57,3.63,3.55,62291,62415744.0,2.17,-3.25,-0.12,2.92
2010-01-14,3.57,3.58,3.61,3.52,47639,47721324.0,2.52,0.28,0.01,2.24
2010-01-15,3.6,3.67,3.71,3.59,49651,50690740.0,3.35,2.51,0.09,2.33
2010-01-18,3.65,3.8,3.8,3.65,62707,64733488.0,4.09,3.54,0.13,2.94
2010-01-19,3.84,3.75,3.85,3.69,48144,50051888.0,4.21,-1.32,-0.05,2.26
2010-01-20,3.77,3.56,3.78,3.56,55192,55918188.0,5.87,-5.07,-0.19,2.59
2010-01-21,3.52,3.59,3.65,3.51,40423,40391416.0,3.93,0.84,0.03,1.9
2010-01-22,3.57,3.43,3.58,3.32,41058,40193796.0,7.24,-4.46,-0.16,1.93
2010-01-25,3.34,3.36,3.42,3.34,22052,21141098.0,2.33,-2.04,-0.07,1.04
2010-01-26,3.32,3.08,3.39,3.05,41446,37931216.0,10.12,-8.33,-0.28,1.95
2010-01-27,3.1,3.02,3.14,2.84,29767,26402578.0,9.74,-1.95,-0.06,1.4
2010-01-28,2.99,3.03,3.05,2.94,27298,24097406.0,3.64,0.33,0.01,1.28
2010-01-29,3.01,2.96,3.05,2.94,28066,24711626.0,3.63,-2.31,-0.07,1.32
2010-02-01,2.87,2.88,2.94,2.74,35325,29838200.0,6.76,-2.7,-0.08,1.66
