日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.73,12.49,12.96,12.48,160180,292779744.0,3.89,1.22,0.15,6.89
2010-01-05,12.51,12.9,12.94,12.28,116679,211925456.0,5.28,3.28,0.41,5.02
2010-01-06,12.91,12.67,12.91,12.65,53410,97335000.0,2.02,-1.78,-0.23,2.3
2010-01-07,12.59,12.19,12.66,12.14,53638,94801648.0,4.1,-3.79,-0.48,2.31
2010-01-08,12.04,12.34,12.34,11.94,30543,53142696.0,3.28,1.23,0.15,1.31
2010-01-11,12.5,12.41,12.5,12.14,41472,73250040.0,2.92,0.57,0.07,1.78
2010-01-12,12.32,12.73,12.74,12.07,91926,163178144.0,5.4,2.58,0.32,3.96
2010-01-13,12.36,12.32,12.55,12.27,58361,103681888.0,2.2,-3.22,-0.41,2.51
2010-01-14,12.32,12.48,12.58,12.24,50452,89743640.0,2.76,1.3,0.16,2.17
2010-01-15,12.44,12.89,12.98,12.37,123634,225328928.0,4.89,3.29,0.41,5.32
2010-01-18,12.97,13.18,13.28,12.86,138330,258087104.0,3.26,2.25,0.29,5.95
2010-01-19,13.21,13.04,13.26,12.71,113778,209665328.0,4.17,-1.06,-0.14,4.9
2010-01-20,12.95,13.05,13.19,12.59,106008,194548160.0,4.6,0.08,0.01,4.56
2010-01-21,12.78,13.51,13.74,12.78,183738,348517152.0,7.36,3.52,0.46,7.91
2010-01-22,13.34,13.13,13.36,12.9,103433,193714384.0,3.4,-2.81,-0.38,4.45
2010-01-25,13.05,13.02,13.71,12.93,87544,166474928.0,5.94,-0.84,-0.11,3.77
2010-01-26,13.04,12.27,13.28,11.9,102172,182313008.0,10.6,-5.76,-0.75,4.4
2010-01-27,12.21,12.3,12.72,11.97,73260,130567952.0,6.11,0.24,0.03,3.15
2010-01-28,12.51,12.18,12.74,11.83,86875,152792512.0,7.4,-0.98,-0.12,3.74
2010-01-29,11.51,12.28,12.63,11.44,163327,282134336.0,9.77,0.82,0.1,7.03
2010-02-01,12.44,11.51,12.63,11.4,140296,242074416.0,10.02,-6.27,-0.77,6.04
2010-02-02,11.53,11.26,11.67,11.24,112529,185957872.0,3.74,-2.17,-0.25,4.84
2010-02-03,11.25,11.46,11.51,10.61,99117,158157680.0,7.99,1.78,0.2,4.26
2010-02-04,11.28,11.21,11.64,10.96,116652,190260848.0,5.93,-2.18,-0.25,5.02
2010-02-05,10.83,10.88,11.19,10.67,57729,91754632.0,4.64,-2.94,-0.33,2.48
2010-02-08,10.88,10.94,11.11,10.82,31534,50214188.0,2.67,0.55,0.06,1.36
2010-02-09,10.9,10.74,11.04,10.61,32651,51261880.0,3.93,-1.83,-0.2,1.4
2010-02-10,10.81,10.9,10.92,10.71,24930,39138152.0,1.96,1.49,0.16,1.07
2010-02-11,10.9,11.15,11.27,10.83,48830,78684768.0,4.04,2.29,0.25,2.1
2010-02-12,11.17,11.23,11.28,11.14,27248,44122484.0,1.26,0.72,0.08,1.17
2010-02-22,11.25,11.28,11.44,11.24,49819,81616728.0,1.78,0.45,0.05,2.14
