日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-10-14,11.14,14.39,14.39,11.14,606,2145536.0,38.55,70.7,5.96,0.07
2016-10-17,16.34,16.34,16.34,16.34,350,1367100.0,0.0,13.55,1.95,0.04
2016-10-18,18.49,18.49,18.49,18.49,248,1065656.0,0.0,13.16,2.15,0.03
2016-10-19,20.85,20.85,20.85,20.85,539,2547853.0,0.0,12.76,2.36,0.07
2016-10-20,23.45,23.45,23.45,23.45,1690,8786856.0,0.0,12.47,2.6,0.2
2016-10-21,26.31,25.66,26.31,23.47,439061,2405673936.0,12.11,9.42,2.21,53.22
2016-10-24,24.8,25.21,26.38,24.07,288199,1577147520.0,9.0,-1.75,-0.45,34.93
2016-10-25,24.77,25.66,26.48,24.4,242590,1357530704.0,8.25,1.79,0.45,29.4
2016-10-26,25.67,25.72,26.34,25.12,157411,885491040.0,4.75,0.23,0.06,19.08
2016-10-27,25.54,27.01,27.84,25.31,211892,1232322576.0,9.84,5.02,1.29,25.68
2016-10-28,26.63,26.88,27.74,26.21,195299,1143601280.0,5.66,-0.48,-0.13,23.67
2016-10-31,26.64,25.14,26.73,25.1,148914,836199136.0,6.06,-6.47,-1.74,18.05
2016-11-01,24.95,26.65,27.73,24.95,198197,1147616336.0,11.06,6.01,1.51,24.02
2016-11-02,26.34,29.37,29.83,26.21,314567,1918551760.0,13.58,10.21,2.72,38.13
2016-11-03,29.28,28.31,32.74,28.06,344997,2234299776.0,15.93,-3.61,-1.06,41.82
2016-11-04,28.35,28.49,29.77,27.69,238374,1467786944.0,7.35,0.64,0.18,28.89
2016-11-07,28.65,27.59,28.77,27.34,134122,802818160.0,5.02,-3.16,-0.9,16.26
2016-11-08,27.66,28.03,28.29,27.24,102070,612945696.0,3.81,1.59,0.44,12.37
2016-11-09,27.82,28.64,29.2,27.36,156925,954731088.0,6.56,2.18,0.61,19.02
2016-11-10,28.79,30.69,31.38,28.34,225968,1445349840.0,10.61,7.16,2.05,27.39
2016-11-11,30.33,29.99,32.52,29.76,216277,1418888864.0,8.99,-2.28,-0.7,26.22
2016-11-14,29.44,28.98,29.71,28.45,124343,772517680.0,4.2,-3.37,-1.01,15.07
2016-11-15,29.05,29.08,29.49,28.76,69939,434687264.0,2.52,0.35,0.1,8.48
2016-11-16,29.17,27.9,29.39,27.8,95861,581533200.0,5.47,-4.06,-1.18,11.62
2016-11-17,27.85,27.81,28.21,27.43,53330,320505120.0,2.8,-0.32,-0.09,6.46
2016-11-18,27.94,27.94,28.61,27.75,63981,387456208.0,3.09,0.47,0.13,7.76
2016-11-21,27.79,27.73,28.1,26.76,83885,497006064.0,4.8,-0.75,-0.21,10.17
2016-11-22,27.74,27.96,28.18,27.59,71092,427150496.0,2.13,0.83,0.23,8.62
2016-11-23,27.95,27.08,28.12,26.95,74420,442671232.0,4.18,-3.15,-0.88,9.02
2016-11-24,26.92,26.06,27.21,25.94,77016,442331136.0,4.69,-3.77,-1.02,9.34
2016-11-25,26.06,26.16,26.31,25.0,54663,306612832.0,5.03,0.38,0.1,6.63
2016-11-28,26.2,25.46,26.35,25.44,40552,227459128.0,3.48,-2.68,-0.7,4.92
2016-11-29,25.29,25.1,25.9,25.05,46834,260277043.0,3.34,-1.41,-0.36,5.68
2016-11-30,25.05,24.85,25.26,24.72,34413,188374267.0,2.15,-1.0,-0.25,4.17
2016-12-01,25.01,25.9,25.93,24.88,63191,352524400.0,4.23,4.23,1.05,7.66
2016-12-02,25.65,25.04,26.06,25.02,46369,258021831.0,4.02,-3.32,-0.86,5.62
2016-12-05,24.56,24.85,25.08,24.4,30843,167817433.0,2.72,-0.76,-0.19,3.74
2016-12-06,25.34,25.64,25.92,25.13,54541,305369632.0,3.18,3.18,0.79,6.61
2016-12-07,25.82,25.65,25.82,25.28,33278,185514523.0,2.11,0.04,0.01,4.03
2016-12-08,25.57,24.97,25.62,24.94,34300,189599517.0,2.65,-2.65,-0.68,4.16
2016-12-09,24.98,24.65,25.21,24.54,33586,182578366.0,2.68,-1.28,-0.32,4.07
2016-12-12,24.46,22.24,24.71,21.81,54329,280279360.0,11.76,-9.78,-2.41,6.59
2016-12-13,22.08,22.33,22.61,21.82,30861,153506872.0,3.55,0.4,0.09,3.74
2016-12-14,22.12,21.51,22.34,21.31,33832,165371115.0,4.61,-3.67,-0.82,4.1
2016-12-15,21.51,21.71,22.16,21.31,29752,145890844.0,3.95,0.93,0.2,3.61
2016-12-16,21.75,22.26,22.51,21.63,35314,174545134.0,4.05,2.53,0.55,4.28
2016-12-19,22.7,22.1,22.7,21.84,23195,115224760.0,3.86,-0.72,-0.16,2.81
2016-12-20,22.14,22.18,22.35,21.97,17733,88017638.0,1.72,0.36,0.08,2.15
2016-12-21,22.18,22.32,22.39,22.08,21113,105087223.0,1.4,0.63,0.14,2.56
2016-12-22,22.26,22.8,23.14,22.09,43327,219465982.0,4.7,2.15,0.48,5.25
2016-12-23,22.67,22.02,22.78,21.82,35383,176403970.0,4.21,-3.42,-0.78,4.29
2016-12-26,21.78,21.94,22.05,21.26,22080,107325789.0,3.59,-0.36,-0.08,2.68
2016-12-27,21.94,21.6,22.11,21.57,18271,89472316.0,2.46,-1.55,-0.34,2.21
2016-12-28,21.48,21.24,21.77,21.2,19161,92640870.0,2.64,-1.67,-0.36,2.32
2016-12-29,21.24,20.96,21.43,20.95,18475,88355051.0,2.26,-1.32,-0.28,2.24
2016-12-30,21.08,20.89,21.15,20.72,17205,81580552.0,2.05,-0.33,-0.07,2.09
2017-01-03,20.9,21.23,21.34,20.9,19028,90945510.0,2.11,1.63,0.34,2.31
2017-01-04,21.26,21.49,21.56,21.06,21051,101411435.0,2.36,1.22,0.26,2.55
2017-01-05,21.48,21.45,21.97,21.42,22910,111690415.0,2.56,-0.19,-0.04,2.78
2017-01-06,21.31,20.79,21.34,20.71,26724,127020003.0,2.94,-3.08,-0.66,3.24
2017-01-09,20.69,20.64,20.79,20.32,16251,75967712.0,2.26,-0.72,-0.15,1.97
