日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-02-01,1.2,1.12,1.21,1.11,124813,198773989.0,9.35,4.67,0.05,74.29
2012-02-02,1.15,1.15,1.17,1.12,80265,128176394.0,4.46,2.68,0.03,47.78
2012-02-03,1.14,1.17,1.17,1.12,75190,119635438.0,4.35,1.74,0.02,44.76
2012-02-06,1.16,1.16,1.19,1.14,67024,107946765.0,4.27,-0.85,-0.01,39.9
2012-02-07,1.18,1.13,1.2,1.12,63890,103013617.0,6.9,-2.59,-0.03,38.03
2012-02-08,1.09,1.12,1.12,1.05,66644,101146100.0,6.19,-0.88,-0.01,39.67
2012-02-09,1.09,1.12,1.13,1.09,45140,70145173.0,3.57,0.0,0.0,26.87
2012-02-10,1.11,1.11,1.12,1.1,31339,48591868.0,1.79,-0.89,-0.01,18.65
2012-02-13,1.12,1.13,1.14,1.11,44263,69655401.0,2.7,1.8,0.02,26.35
2012-02-14,1.12,1.13,1.16,1.12,35940,57087308.0,3.54,0.0,0.0,21.39
2012-02-15,1.13,1.15,1.15,1.12,35628,56308445.0,2.65,1.77,0.02,21.21
2012-02-16,1.14,1.13,1.17,1.12,32460,51618158.0,4.35,-1.74,-0.02,19.32
2012-02-17,1.13,1.13,1.16,1.13,23647,37536319.0,2.65,0.0,0.0,14.08
2012-02-20,1.14,1.19,1.23,1.14,62837,103582170.0,7.96,5.31,0.06,37.4
2012-02-21,1.18,1.2,1.2,1.16,37775,61803097.0,3.36,0.84,0.01,22.49
2012-02-22,1.19,1.23,1.23,1.19,46745,78340553.0,3.33,2.5,0.03,27.82
2012-02-23,1.24,1.21,1.26,1.2,39102,66121691.0,4.88,-1.63,-0.02,23.28
2012-02-24,1.21,1.22,1.22,1.19,33415,55678940.0,2.48,0.83,0.01,19.89
2012-02-27,1.22,1.21,1.25,1.2,35679,60210410.0,4.1,-0.82,-0.01,21.24
2012-02-28,1.21,1.24,1.25,1.2,32750,55317342.0,4.13,2.48,0.03,19.49
2012-02-29,1.25,1.18,1.27,1.18,33735,56688776.0,7.26,-4.84,-0.06,20.08
2012-03-01,1.18,1.19,1.21,1.17,23598,38806591.0,3.39,0.85,0.01,14.05
2012-03-02,1.2,1.24,1.26,1.19,29373,49710712.0,5.88,4.2,0.05,17.48
2012-03-05,1.24,1.24,1.28,1.22,34913,59882227.0,4.84,0.0,0.0,20.78
2012-03-06,1.25,1.21,1.25,1.2,25528,42797388.0,4.03,-2.42,-0.03,15.2
2012-03-08,1.23,1.26,1.3,1.22,40291,69632903.0,6.61,4.13,0.05,23.98
2012-03-09,1.26,1.28,1.29,1.25,32671,56967237.0,3.17,1.59,0.02,19.45
2012-03-12,1.28,1.28,1.3,1.25,25758,44966724.0,3.91,0.0,0.0,15.33
