日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-06-13,5.33,6.41,6.41,5.33,69,99823.0,24.43,45.02,1.99,0.04
2017-06-14,7.06,7.06,7.06,7.06,10,16050.0,0.0,10.14,0.65,0.01
2017-06-15,7.78,7.78,7.78,7.78,23,40618.0,0.0,10.2,0.72,0.01
2017-06-16,8.57,8.57,8.57,8.57,39,75777.0,0.0,10.15,0.79,0.02
2017-06-19,9.44,9.44,9.44,9.44,170,363290.0,0.0,10.15,0.87,0.09
2017-06-20,10.39,10.39,10.39,10.39,208,489008.0,0.0,10.06,0.95,0.11
2017-06-21,11.44,11.44,11.44,11.44,337,871482.0,0.0,10.11,1.05,0.18
2017-06-22,12.6,12.6,12.6,12.6,372,1059335.0,0.0,10.14,1.16,0.2
2017-06-23,13.87,13.87,13.87,13.87,1996,6248168.0,0.0,10.08,1.27,1.05
2017-06-26,15.27,15.27,15.27,15.27,3312,11402355.0,0.0,10.09,1.4,1.74
2017-06-27,16.64,16.81,16.81,16.19,65733,247321775.0,4.06,10.09,1.54,34.6
2017-06-28,16.32,15.98,17.09,15.65,100652,366897328.0,8.57,-4.94,-0.83,52.97
2017-06-29,16.73,15.81,17.09,15.67,101133,373158320.0,8.89,-1.06,-0.17,53.23
2017-06-30,15.12,15.19,16.19,14.78,96818,338869456.0,8.92,-3.92,-0.62,50.96
2017-07-03,14.85,14.78,14.96,14.41,62430,206683196.0,3.62,-2.7,-0.41,32.86
2017-07-04,14.79,14.9,15.03,14.57,50390,168413432.0,3.11,0.81,0.12,26.52
2017-07-05,14.85,15.47,15.52,14.74,64998,222896193.0,5.23,3.83,0.57,34.21
2017-07-06,15.27,15.23,15.39,14.9,53009,181509911.0,3.17,-1.55,-0.24,27.9
2017-07-07,15.13,15.23,15.67,15.13,60586,210880923.0,3.55,0.0,0.0,31.89
2017-07-10,14.81,14.24,14.97,14.19,52796,172873300.0,5.12,-6.5,-0.99,27.79
2017-07-11,14.19,14.12,14.36,14.05,24812,79454761.0,2.18,-0.84,-0.12,13.06
2017-07-12,14.17,14.34,14.38,13.99,23041,73820365.0,2.76,1.56,0.22,12.13
2017-07-13,14.28,13.95,14.28,13.91,23157,73402648.0,2.58,-2.72,-0.39,12.19
2017-07-14,13.88,13.71,14.02,13.68,19248,60081354.0,2.44,-1.72,-0.24,10.13
2017-07-17,13.24,12.33,13.37,12.33,37004,105623868.0,7.59,-10.07,-1.38,19.48
2017-07-18,12.17,12.34,12.49,12.04,18770,52152786.0,3.65,0.08,0.01,9.88
2017-07-19,12.31,12.3,12.38,12.04,16010,44288420.0,2.76,-0.32,-0.04,8.43
2017-07-20,12.18,12.16,12.52,12.13,18602,51909736.0,3.17,-1.14,-0.14,9.79
2017-07-21,12.13,12.05,12.37,11.97,16321,44719196.0,3.29,-0.9,-0.11,8.59
2017-07-24,11.89,12.21,12.27,11.77,17234,46742430.0,4.15,1.33,0.16,9.07
2017-07-25,12.1,12.18,12.28,12.09,11771,32380366.0,1.56,-0.25,-0.03,6.2
2017-07-26,12.14,11.95,12.23,11.89,10362,28203923.0,2.79,-1.89,-0.23,5.45
2017-07-27,11.91,12.42,12.5,11.86,23163,64062913.0,5.36,3.93,0.47,12.19
2017-07-28,12.35,12.13,12.44,12.1,15580,43079861.0,2.74,-2.33,-0.29,8.2
2017-07-31,12.14,12.11,12.22,12.01,8502,23285871.0,1.73,-0.16,-0.02,4.47
2017-08-01,12.13,12.13,12.19,11.96,9383,25607461.0,1.9,0.17,0.02,4.94
2017-08-02,12.1,11.94,12.15,11.87,10898,29610973.0,2.31,-1.57,-0.19,5.74
2017-08-03,11.89,11.97,12.17,11.89,11408,31001510.0,2.35,0.25,0.03,6.0
2017-08-04,11.98,11.84,12.1,11.83,10246,27676139.0,2.26,-1.09,-0.13,5.39
2017-08-07,11.83,11.93,12.04,11.8,5945,16048780.0,2.03,0.76,0.09,3.13
2017-08-08,11.93,11.86,11.98,11.82,8256,22164909.0,1.34,-0.59,-0.07,4.35
2017-08-09,11.84,11.76,11.91,11.75,6430,17158594.0,1.35,-0.84,-0.1,3.38
2017-08-10,11.73,11.49,11.81,11.46,9141,23971689.0,2.98,-2.3,-0.27,4.81
2017-08-11,11.38,11.27,11.45,11.24,7996,20487531.0,1.83,-1.91,-0.22,4.21
2017-08-14,11.27,11.44,11.46,11.19,6129,15789173.0,2.4,1.51,0.17,3.23
2017-08-15,11.48,11.65,11.72,11.48,8862,23273082.0,2.1,1.84,0.21,4.66
2017-08-16,11.67,12.0,12.08,11.57,16117,43343938.0,4.38,3.0,0.35,8.48
2017-08-17,12.0,11.89,12.0,11.76,11638,31262483.0,2.0,-0.92,-0.11,6.13
2017-08-18,11.82,11.78,11.85,11.72,6717,17888820.0,1.09,-0.93,-0.11,3.54
2017-08-21,11.79,12.15,12.23,11.77,15993,43674915.0,3.9,3.14,0.37,8.42
