日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-10,5.49,5.99,5.99,5.49,147,186128.0,11.57,38.66,1.67,0.03
2015-06-11,6.54,6.54,6.54,6.54,22,30668.0,0.0,9.18,0.55,0.0
2015-06-12,7.15,7.15,7.15,7.15,21,32193.0,0.0,9.33,0.61,0.0
2015-06-15,7.81,7.81,7.81,7.81,37,61893.0,0.0,9.23,0.66,0.01
2015-06-16,8.54,8.54,8.54,8.54,52,96460.0,0.0,9.35,0.73,0.01
2015-06-17,9.34,9.34,9.34,9.34,197,402077.0,0.0,9.37,0.8,0.04
2015-06-18,10.23,10.23,10.23,10.23,129,289605.0,0.0,9.53,0.89,0.03
2015-06-19,11.2,11.2,11.2,11.2,940,2322269.0,0.0,9.48,0.97,0.19
2015-06-23,12.27,12.27,12.27,12.27,307,834119.0,0.0,9.55,1.07,0.06
2015-06-24,13.45,13.45,13.45,13.45,180,538886.0,0.0,9.62,1.18,0.04
2015-06-25,14.74,14.74,14.74,14.74,202,664176.0,0.0,9.59,1.29,0.04
2015-06-26,16.17,16.17,16.17,13.59,245613,869213568.0,17.5,9.7,1.43,49.12
2015-06-29,14.62,14.6,15.57,14.6,49945,165065326.0,6.0,-9.71,-1.57,9.99
2015-06-30,13.19,13.86,15.66,13.19,174975,532841040.0,16.92,-5.07,-0.74,34.99
2015-07-01,13.6,13.03,14.97,12.63,160493,494869104.0,16.88,-5.99,-0.83,32.1
2015-07-02,12.41,11.78,12.8,11.78,83092,222246790.0,7.83,-9.59,-1.25,16.62
2015-07-03,11.03,10.65,11.72,10.65,75072,179451771.0,9.08,-9.59,-1.13,15.01
2015-07-06,11.66,9.97,11.66,9.64,107637,253838327.0,18.97,-6.38,-0.68,21.53
2015-07-07,9.51,9.02,9.51,9.02,34701,69197722.0,4.91,-9.53,-0.95,6.94
2015-07-08,8.17,8.17,8.73,8.17,97656,174932234.0,6.21,-9.42,-0.85,19.53
2015-07-09,8.17,8.94,8.94,8.13,49775,94462837.0,9.91,9.42,0.77,9.95
2015-07-10,9.78,9.78,9.78,9.78,3449,7386836.0,0.0,9.4,0.84,0.69
2015-07-13,10.71,10.71,10.71,10.71,2186,5151111.0,0.0,9.51,0.93,0.44
2015-07-14,11.73,11.73,11.73,11.43,63895,165282475.0,2.8,9.52,1.02,12.78
2015-07-15,12.06,10.61,12.13,10.61,128861,320615840.0,12.96,-9.55,-1.12,25.77
2015-07-16,9.77,10.79,11.31,9.69,83398,195679326.0,15.27,1.7,0.18,16.68
2015-07-17,10.9,11.59,11.79,10.86,78976,198651820.0,8.62,7.41,0.8,15.8
2015-07-20,11.59,11.37,11.85,11.08,77930,197836590.0,6.64,-1.9,-0.22,15.59
2015-07-21,11.11,11.9,12.05,10.86,86984,223737273.0,10.47,4.66,0.53,17.4
2015-07-22,11.77,11.76,11.98,11.42,74316,192002643.0,4.71,-1.18,-0.14,14.86
2015-07-23,11.73,12.89,12.89,11.66,91353,249076615.0,10.46,9.61,1.13,18.27
2015-07-24,13.28,12.79,13.92,12.5,143284,426822720.0,11.02,-0.78,-0.1,28.66
2015-07-27,12.37,11.57,13.4,11.57,94195,262445391.0,14.31,-9.54,-1.22,18.84
2015-07-28,10.9,11.33,12.02,10.51,73743,182570042.0,13.05,-2.07,-0.24,14.75
2015-07-29,11.76,12.41,12.41,11.09,73178,189939802.0,11.65,9.53,1.08,14.64
2015-07-30,12.53,12.57,13.42,11.98,116226,333856256.0,11.6,1.29,0.16,23.25
2015-07-31,12.2,13.77,13.77,12.15,176127,523006688.0,12.89,9.55,1.2,35.23
2015-08-03,13.5,15.1,15.1,12.88,202958,638001072.0,16.12,9.66,1.33,40.59
2015-08-04,14.79,13.78,15.86,13.64,194189,615005264.0,14.7,-8.74,-1.32,38.84
2015-08-05,13.41,15.11,15.11,13.28,190626,619352608.0,13.28,9.65,1.33,38.13
2015-08-06,14.79,15.4,16.09,13.71,190346,626699648.0,15.75,1.92,0.29,38.07
2015-08-07,14.8,15.43,16.25,14.63,165378,573004352.0,10.52,0.19,0.03,33.08
