日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-06,6.44,7.09,7.09,6.44,97,168530.0,13.77,50.21,2.37,0.02
2017-03-07,7.87,7.87,7.87,7.87,29,55883.0,0.0,11.0,0.78,0.01
2017-03-08,8.73,8.73,8.73,8.73,62,132076.0,0.0,10.93,0.86,0.01
2017-03-09,9.67,9.67,9.67,9.67,101,236231.0,0.0,10.77,0.94,0.02
2017-03-10,10.71,10.71,10.71,10.71,93,239314.0,0.0,10.75,1.04,0.02
2017-03-13,11.85,11.85,11.85,11.85,163,459082.0,0.0,10.64,1.14,0.04
2017-03-14,13.1,13.1,13.1,13.1,128,397249.0,0.0,10.55,1.25,0.03
2017-03-15,14.48,14.48,14.48,14.48,232,790784.0,0.0,10.53,1.38,0.05
2017-03-16,16.0,16.0,16.0,16.0,296,1112193.0,0.0,10.5,1.52,0.07
2017-03-17,17.67,17.67,17.67,17.67,423,1748032.0,0.0,10.44,1.67,0.1
2017-03-20,19.5,19.5,19.5,19.5,893,4057519.0,0.0,10.36,1.83,0.2
2017-03-21,21.52,21.52,21.52,21.52,2287,11432725.0,0.0,10.36,2.02,0.51
2017-03-22,23.74,23.74,23.74,23.74,2257,12407391.0,0.0,10.32,2.22,0.51
2017-03-23,26.19,26.19,26.19,26.19,1303,7879334.0,0.0,10.32,2.45,0.29
2017-03-24,28.88,28.88,28.88,28.88,4571,30412592.0,0.0,10.27,2.69,1.03
2017-03-27,31.83,31.83,31.83,31.83,14310,104719043.0,0.0,10.21,2.95,3.22
2017-03-28,34.2,34.91,35.08,33.53,308228,2438883264.0,4.87,9.68,3.08,69.26
2017-03-29,32.64,31.35,34.86,31.35,204806,1546024976.0,10.05,-10.2,-3.56,46.02
2017-03-30,29.99,28.14,30.31,28.14,165294,1104254416.0,6.92,-10.24,-3.21,37.14
2017-03-31,27.76,26.8,28.64,26.0,119600,750068032.0,9.38,-4.76,-1.34,26.88
2017-04-05,26.28,26.55,26.81,25.54,77616,470492208.0,4.74,-0.93,-0.25,17.44
2017-04-06,26.36,26.43,27.58,26.2,91437,569793696.0,5.2,-0.45,-0.12,20.55
2017-04-07,26.13,26.19,27.32,25.76,75475,461297680.0,5.9,-0.91,-0.24,16.96
2017-04-10,25.71,23.5,25.71,23.5,91714,513849456.0,8.44,-10.27,-2.69,20.61
2017-04-11,22.87,23.57,23.88,22.53,78029,421004368.0,5.74,0.3,0.07,17.53
2017-04-12,23.31,21.84,23.52,21.79,62667,330955056.0,7.34,-7.34,-1.73,14.08
2017-04-13,22.2,21.97,22.77,21.88,46464,240333710.0,4.08,0.6,0.13,10.44
2017-04-14,21.78,22.08,22.51,21.29,49162,249185653.0,5.55,0.5,0.11,11.05
2017-04-17,20.87,19.8,21.24,19.8,68988,326028672.0,6.52,-10.33,-2.28,15.5
2017-04-18,19.96,19.38,20.2,19.13,41417,189137865.0,5.4,-2.12,-0.42,9.31
2017-04-19,19.41,20.02,20.04,19.32,47488,218633770.0,3.72,3.3,0.64,10.67
2017-04-20,19.84,19.41,19.88,19.17,40926,186222239.0,3.55,-3.05,-0.61,9.2
2017-04-21,19.49,19.33,19.95,19.31,25204,114998313.0,3.3,-0.41,-0.08,5.66
2017-04-24,19.35,19.22,19.56,17.53,30158,133592842.0,10.5,-0.57,-0.11,6.78
2017-04-25,19.44,19.41,19.84,19.27,29443,134074675.0,2.97,0.99,0.19,6.62
2017-04-26,19.29,20.42,20.86,19.28,52994,248133852.0,8.14,5.2,1.01,11.91
2017-04-27,19.75,20.67,20.94,19.31,66495,313108960.0,7.98,1.22,0.25,14.94
2017-04-28,20.54,20.47,20.98,20.45,39700,190510955.0,2.56,-0.97,-0.2,8.92
2017-05-02,20.47,19.83,20.64,19.82,30855,144764289.0,4.01,-3.13,-0.64,6.93
2017-05-03,19.6,19.48,20.01,18.91,39467,178836223.0,5.55,-1.77,-0.35,8.87
2017-05-04,19.3,18.8,19.3,18.77,31189,138472222.0,2.72,-3.49,-0.68,7.01
2017-05-05,18.8,18.42,19.08,18.42,27296,119437935.0,3.51,-2.02,-0.38,6.13
2017-05-08,18.37,17.3,18.57,17.3,31219,131006430.0,6.89,-6.08,-1.12,7.02
2017-05-09,17.11,17.48,17.61,17.04,24995,101906244.0,3.29,1.04,0.18,5.62
2017-05-10,17.51,17.84,19.04,17.44,49630,211462429.0,9.15,2.06,0.36,11.15
2017-05-11,17.66,18.44,18.7,17.35,50182,213080412.0,7.57,3.36,0.6,11.28
2017-05-12,18.68,18.48,19.12,18.2,41755,181613567.0,4.99,0.22,0.04,9.38
2017-05-15,18.12,18.5,18.7,18.12,26551,114241977.0,3.14,0.11,0.02,5.97
2017-05-16,18.5,18.91,18.94,17.93,39782,171327307.0,5.46,2.22,0.41,8.94
2017-05-17,18.86,19.25,19.54,18.64,46214,206964249.0,4.76,1.8,0.34,10.39
2017-05-18,18.88,18.86,19.41,18.81,29284,130670890.0,3.12,-2.03,-0.39,6.58
2017-05-19,18.98,18.86,19.48,18.77,29579,131731909.0,3.76,0.0,0.0,6.65
2017-05-22,18.85,17.36,18.99,17.26,42112,176524712.0,9.17,-7.95,-1.5,9.46
2017-05-23,17.32,16.16,17.43,16.11,36019,141571005.0,7.6,-6.91,-1.2,8.09
2017-05-24,15.97,16.6,16.68,15.8,18710,71406184.0,5.45,2.72,0.44,4.2
2017-05-25,16.52,16.56,16.79,16.04,19677,76103538.0,4.52,-0.24,-0.04,4.42
2017-05-26,16.62,16.64,16.88,16.42,16981,66234106.0,2.78,0.48,0.08,3.82
2017-05-31,17.35,16.48,17.47,16.47,21862,87338902.0,6.01,-0.96,-0.16,4.91
2017-06-01,16.51,15.31,16.51,15.29,25603,95012854.0,7.4,-7.1,-1.17,5.75
2017-06-02,15.4,15.82,15.92,15.25,18007,65961277.0,4.38,3.33,0.51,4.05
2017-06-05,16.02,15.93,16.24,15.77,14352,53834670.0,2.97,0.7,0.11,3.23
2017-06-06,15.8,15.83,15.93,15.66,10940,40577597.0,1.69,-0.63,-0.1,2.46
2017-06-07,15.92,16.52,16.63,15.8,24704,94637169.0,5.24,4.36,0.69,5.55
2017-06-08,16.46,16.41,16.71,16.3,20363,78869666.0,2.48,-0.67,-0.11,4.58
2017-06-09,16.46,16.36,16.57,16.06,15079,57546974.0,3.11,-0.3,-0.05,3.39
2017-06-12,16.05,15.6,16.11,15.54,17872,66323128.0,3.48,-4.65,-0.76,4.02
2017-06-13,15.57,16.24,16.35,15.45,20533,77404401.0,5.77,4.1,0.64,4.61
2017-06-14,16.17,16.22,16.62,15.95,20683,78844020.0,4.13,-0.12,-0.02,4.65
2017-06-15,16.11,16.59,16.9,16.11,30586,119203301.0,4.87,2.28,0.37,6.87
2017-06-16,16.66,16.48,17.29,16.45,18952,73988816.0,5.06,-0.66,-0.11,4.26
2017-06-19,16.51,16.44,16.6,16.24,14006,53870289.0,2.18,-0.24,-0.04,3.15
2017-06-20,16.57,16.7,17.03,16.44,34050,133539904.0,3.59,1.58,0.26,7.65
2017-06-21,16.73,16.51,16.91,16.33,21416,83263403.0,3.47,-1.14,-0.19,4.81
2017-06-22,16.5,15.94,16.61,15.94,19044,72772588.0,4.06,-3.45,-0.57,4.28
2017-06-23,15.94,15.88,16.08,15.46,16715,61837709.0,3.89,-0.38,-0.06,3.76
2017-06-26,15.75,16.04,16.07,15.65,10180,38114496.0,2.64,1.01,0.16,2.29
2017-06-27,16.12,16.11,16.34,16.01,10524,39904347.0,2.06,0.44,0.07,2.37
2017-06-28,16.01,15.72,16.01,15.7,11603,43102120.0,1.92,-2.42,-0.39,2.61
2017-06-29,15.75,16.07,16.23,15.75,14333,54058560.0,3.05,2.23,0.35,3.22
2017-06-30,15.96,17.03,17.35,15.94,54144,213692054.0,8.77,5.97,0.96,12.17
2017-07-03,17.04,17.39,17.47,16.82,38327,153959886.0,3.82,2.11,0.36,8.61
2017-07-04,17.28,17.55,17.61,17.11,35901,145506498.0,2.88,0.92,0.16,8.07
2017-07-05,17.6,17.53,17.62,17.21,29507,120309693.0,2.34,-0.11,-0.02,6.63
2017-07-06,17.53,17.78,18.36,17.42,39442,165872915.0,5.36,1.43,0.25,8.86
2017-07-07,17.66,18.52,18.81,17.64,43696,188225445.0,6.58,4.16,0.74,9.82
2017-07-10,18.4,17.32,18.4,17.31,40907,169615185.0,5.89,-6.48,-1.2,9.19
2017-07-11,17.4,17.14,17.66,16.99,18236,73916812.0,3.87,-1.04,-0.18,4.1
2017-07-12,16.41,16.72,16.86,16.23,27299,105750758.0,3.68,-2.45,-0.42,6.13
2017-07-13,16.46,16.43,16.68,16.42,11182,43271513.0,1.56,-1.73,-0.29,2.51
2017-07-14,16.46,16.35,16.56,16.2,8841,33952982.0,2.19,-0.49,-0.08,1.99
2017-07-17,16.19,14.75,16.19,14.69,25576,91725791.0,9.17,-9.79,-1.6,5.75
2017-07-18,14.74,15.2,15.43,14.64,12409,43933574.0,5.36,3.05,0.45,2.79
2017-07-19,15.24,15.02,15.24,14.91,13469,47565883.0,2.17,-1.18,-0.18,3.03
2017-07-20,15.1,14.99,15.51,14.96,14717,52761899.0,3.66,-0.2,-0.03,3.31
2017-07-21,14.99,14.99,15.21,14.86,9944,35170547.0,2.33,0.0,0.0,2.23
2017-08-07,14.76,14.52,14.99,14.46,20132,69728323.0,3.54,-3.14,-0.47,4.52
2017-08-08,14.56,14.06,14.66,13.97,25939,86716993.0,4.75,-3.17,-0.46,5.83
2017-08-09,14.12,14.19,14.4,14.0,11647,39015979.0,2.84,0.92,0.13,2.62
2017-08-10,14.15,14.2,14.31,13.87,11801,39342505.0,3.1,0.07,0.01,2.65
2017-08-11,14.11,14.02,14.27,13.98,7984,26570724.0,2.04,-1.27,-0.18,1.79
2017-08-14,14.12,14.33,14.36,14.05,10019,33759560.0,2.21,2.21,0.31,2.25
2017-08-15,14.42,14.8,14.91,14.37,15145,52506448.0,3.77,3.28,0.47,3.4
2017-08-16,14.8,15.96,16.28,14.64,36255,132200261.0,11.08,7.84,1.16,8.15
2017-08-17,15.94,16.12,16.62,15.53,32734,123175548.0,6.83,1.0,0.16,7.36
2017-08-18,15.84,15.68,16.41,15.67,16818,63086289.0,4.59,-2.73,-0.44,3.78
2017-08-21,15.71,15.95,16.04,15.68,11894,44340451.0,2.3,1.72,0.27,2.67
2017-08-22,15.93,15.51,16.0,15.44,10100,37269396.0,3.51,-2.76,-0.44,2.27
2017-08-23,15.51,15.61,15.92,15.44,9135,33692342.0,3.09,0.64,0.1,2.05
2017-08-24,15.57,15.08,15.7,15.08,11023,39661199.0,3.97,-3.4,-0.53,2.48
2017-08-25,15.04,15.36,15.44,15.02,10580,38126028.0,2.79,1.86,0.28,2.38
2017-08-28,15.41,15.86,16.01,15.41,16990,63109740.0,3.91,3.26,0.5,3.82
2017-08-29,15.97,16.32,16.86,15.8,31324,119632201.0,6.68,2.9,0.46,7.04
2017-08-30,16.21,16.24,16.72,16.06,24553,94288262.0,4.04,-0.49,-0.08,5.52
2017-08-31,16.11,16.68,16.84,16.11,32983,128264119.0,4.5,2.71,0.44,7.41
2017-09-01,16.71,16.54,16.79,16.25,24546,94616104.0,3.24,-0.84,-0.14,5.52
2017-09-04,16.55,16.56,17.04,16.26,23879,93585500.0,4.72,0.12,0.02,5.37
2017-09-05,16.32,16.3,16.71,16.27,13080,50357831.0,2.66,-1.57,-0.26,2.94
2017-09-06,16.22,16.37,16.41,15.83,21423,80895608.0,3.56,0.43,0.07,4.81
2017-09-07,16.29,17.15,17.26,16.29,44495,175993933.0,5.93,4.76,0.78,10.0
2017-09-08,17.11,17.02,17.37,16.8,26299,105035129.0,3.32,-0.76,-0.13,5.91
2017-09-11,17.36,18.41,18.78,17.06,66156,277635168.0,10.11,8.17,1.39,14.87
2017-09-12,18.78,18.81,20.2,18.55,87301,392462976.0,8.96,2.17,0.4,19.62
2017-09-13,18.44,18.89,19.39,18.44,45108,199204156.0,5.05,0.43,0.08,10.14
2017-09-14,19.04,18.11,19.04,17.84,46682,199708833.0,6.35,-4.13,-0.78,10.49
2017-09-15,18.03,17.76,18.18,17.67,23618,98606344.0,2.82,-1.93,-0.35,5.31
2017-09-18,17.6,18.1,18.33,17.47,33182,139810395.0,4.84,1.91,0.34,7.46
2017-09-19,17.96,17.7,18.11,17.65,19547,81506051.0,2.54,-2.21,-0.4,4.39
2017-09-20,17.53,17.77,17.9,17.48,20937,86713115.0,2.37,0.4,0.07,4.71
2017-09-21,17.78,17.48,18.01,17.42,18051,74765099.0,3.32,-1.63,-0.29,4.06
2017-09-22,17.44,18.02,18.13,17.38,28107,117464451.0,4.29,3.09,0.54,6.32
2017-09-25,17.97,17.49,18.28,17.43,22344,93439777.0,4.72,-2.94,-0.53,5.02
2017-09-26,17.4,16.76,17.57,16.55,25373,100710823.0,5.83,-4.17,-0.73,5.7
2017-09-27,16.76,17.25,17.35,16.67,15044,60414213.0,4.06,2.92,0.49,3.38
2017-09-28,17.24,17.54,17.69,17.01,17995,73076370.0,3.94,1.68,0.29,4.04
2017-09-29,17.66,17.59,17.73,17.35,14621,59905368.0,2.17,0.29,0.05,3.29
2017-10-09,17.8,17.95,18.07,17.55,17849,74404576.0,2.96,2.05,0.36,4.01
2017-10-10,18.09,18.07,18.1,17.76,15932,66618071.0,1.89,0.67,0.12,3.58
2017-10-11,18.07,17.82,18.14,17.82,13170,55131818.0,1.77,-1.38,-0.25,2.96
