日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-28,18.75,22.56,22.56,18.75,23001,83648542.0,24.47,44.89,6.99,10.04
2014-01-29,23.77,20.27,23.9,20.27,112848,384901824.0,16.09,-10.15,-2.29,49.28
2014-01-30,18.71,18.21,18.78,18.21,49864,148603713.0,2.81,-10.16,-2.06,21.77
2014-02-07,17.52,17.77,18.0,17.1,41896,119983457.0,4.94,-2.42,-0.44,18.3
2014-02-10,17.73,18.67,18.95,17.63,56475,168186892.0,7.43,5.06,0.9,24.66
2014-02-11,18.46,20.2,20.2,18.46,77258,243629463.0,9.32,8.19,1.53,33.74
2014-02-12,19.71,21.15,21.93,19.55,100591,340640400.0,11.78,4.7,0.95,43.93
2014-02-13,20.89,19.68,21.51,19.65,63867,212143480.0,8.79,-6.95,-1.47,27.89
2014-02-14,19.53,21.4,21.58,19.53,74568,251255308.0,10.42,8.74,1.72,32.56
2014-02-17,21.81,23.57,23.57,21.46,78453,287263152.0,9.86,10.14,2.17,34.26
2014-02-18,24.02,23.68,25.28,22.9,108442,420747424.0,10.1,0.47,0.11,47.35
2014-02-19,23.26,22.52,23.75,21.65,63319,232246863.0,8.87,-4.9,-1.16,27.65
2014-02-20,22.58,22.85,23.56,21.9,55071,204531826.0,7.37,1.47,0.33,24.05
2014-02-21,22.65,22.01,22.93,21.6,38966,139778301.0,5.82,-3.68,-0.84,17.02
2014-02-24,21.97,21.79,22.14,21.52,27211,95901397.0,2.82,-1.0,-0.22,11.88
2014-02-25,21.87,20.46,22.69,19.77,45976,162121832.0,13.4,-6.1,-1.33,20.08
2014-02-26,20.33,20.02,20.33,18.46,27125,86268468.0,9.14,-2.15,-0.44,11.85
2014-02-27,19.96,19.4,20.61,19.36,26508,85734501.0,6.24,-3.1,-0.62,11.58
2014-02-28,19.41,21.36,21.37,19.09,46996,156537721.0,11.75,10.1,1.96,20.52
2014-03-03,21.13,22.95,23.15,20.88,57154,207766910.0,10.63,7.44,1.59,24.96
2014-03-04,22.68,21.96,23.76,21.39,62763,229338742.0,10.33,-4.31,-0.99,27.41
2014-03-05,21.95,21.26,22.13,20.96,29713,103559249.0,5.33,-3.19,-0.7,12.98
2014-03-06,21.0,22.23,22.5,20.54,39461,138571507.0,9.22,4.56,0.97,17.23
2014-03-07,22.08,20.55,22.08,20.34,33297,114553188.0,7.83,-7.56,-1.68,14.54
2014-03-10,20.12,19.99,20.51,19.58,18953,61841532.0,4.53,-2.73,-0.56,8.28
2014-03-11,20.0,20.53,20.83,19.96,20066,66641526.0,4.35,2.7,0.54,8.76
2014-03-12,20.43,20.02,20.6,19.58,16485,53653280.0,4.97,-2.48,-0.51,7.2
2014-03-13,20.03,20.52,20.82,19.84,19309,63903446.0,4.9,2.5,0.5,8.43
2014-03-14,20.25,20.1,20.63,19.8,13235,43444577.0,4.04,-2.05,-0.42,5.78
2014-03-17,20.08,20.11,20.33,19.71,12460,40367776.0,3.08,0.05,0.01,5.44
2014-03-18,20.11,20.29,20.65,19.97,17288,56976247.0,3.38,0.9,0.18,7.55
2014-03-19,20.3,19.66,20.3,19.47,17072,54736669.0,4.09,-3.1,-0.63,7.45
2014-03-20,19.58,19.01,19.77,18.99,13861,43468520.0,3.97,-3.31,-0.65,6.05
2014-03-21,18.69,19.26,19.45,18.55,9786,30269691.0,4.73,1.32,0.25,4.27
2014-03-24,19.27,18.68,19.56,18.65,12651,39102671.0,4.72,-3.01,-0.58,5.52
2014-03-25,18.68,18.73,18.83,18.47,10862,32840496.0,1.93,0.27,0.05,4.74
2014-03-26,18.65,18.67,18.83,18.5,9774,29650174.0,1.76,-0.32,-0.06,4.27
2014-03-27,18.47,17.88,18.61,17.77,14634,43016683.0,4.5,-4.23,-0.79,6.39
2014-03-28,17.77,18.1,18.87,17.21,19578,57597394.0,9.28,1.23,0.22,8.55
2014-03-31,17.83,17.6,18.09,17.38,10687,30755268.0,3.92,-2.76,-0.5,4.67
2014-04-01,17.6,17.91,18.0,17.33,8633,25085878.0,3.81,1.76,0.31,3.77
2014-04-02,17.91,18.27,18.45,17.58,15746,46128129.0,4.86,2.01,0.36,6.88
2014-04-03,18.14,18.26,18.75,18.04,16052,48080670.0,3.89,-0.05,-0.01,7.01
2014-04-04,18.21,18.27,18.45,18.02,7348,21816353.0,2.35,0.05,0.01,3.21
2014-04-08,18.08,18.41,18.61,17.88,11937,35562816.0,4.0,0.77,0.14,5.21
2014-04-09,18.41,18.6,18.77,18.31,14409,43336593.0,2.5,1.03,0.19,6.29
2014-04-10,18.55,18.3,18.74,18.25,16979,51183628.0,2.63,-1.61,-0.3,7.41
2014-04-11,18.16,17.82,18.16,17.81,12361,35993721.0,1.91,-2.62,-0.48,5.4
2014-04-14,17.78,18.2,18.27,17.76,10667,31344461.0,2.86,2.13,0.38,4.66
2014-04-15,18.33,19.28,20.0,18.22,37710,117695010.0,9.78,5.93,1.08,16.47
2014-04-16,18.96,19.27,19.7,18.71,23373,72933933.0,5.13,-0.05,-0.01,10.21
2014-04-17,19.13,18.9,19.34,18.9,12497,38800785.0,2.28,-1.92,-0.37,5.46
2014-04-18,18.86,18.7,18.9,18.61,8299,25219939.0,1.53,-1.06,-0.2,3.62
2014-04-21,18.5,18.96,19.38,18.5,16105,49959418.0,4.71,1.39,0.26,7.03
2014-04-22,18.96,18.39,19.01,17.86,13625,40809389.0,6.07,-3.01,-0.57,5.95
2014-04-23,18.4,17.89,18.4,17.87,10753,31686367.0,2.88,-2.72,-0.5,4.7
2014-04-24,17.71,17.64,18.05,17.46,9140,26305127.0,3.3,-1.4,-0.25,3.99
2014-04-25,17.42,17.19,17.81,17.16,7800,22193269.0,3.68,-2.55,-0.45,3.41
