日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,11.35,11.16,11.62,11.15,54700,102468396.0,4.15,-1.41,-0.16,4.65
2010-01-05,11.14,11.45,11.47,10.99,54098,99468273.0,4.3,2.6,0.29,4.6
2010-01-06,11.44,11.37,11.56,11.27,50369,94383322.0,2.53,-0.7,-0.08,4.28
2010-01-07,11.29,10.95,11.32,10.87,45033,82034738.0,3.96,-3.69,-0.42,3.83
2010-01-08,10.87,11.03,11.11,10.87,41918,75816131.0,2.19,0.73,0.08,3.56
2010-01-11,11.07,11.13,11.33,10.85,43578,79245332.0,4.35,0.91,0.1,3.7
2010-01-12,11.06,11.88,11.95,10.98,109687,208711922.0,8.72,6.74,0.75,9.33
2010-01-13,11.57,12.46,12.7,11.57,162715,326149088.0,9.51,4.88,0.58,13.83
2010-01-14,12.33,12.48,12.53,12.21,73038,147246514.0,2.57,0.16,0.02,6.21
2010-01-15,12.57,12.72,13.31,12.57,96873,203587326.0,5.93,1.92,0.24,8.24
2010-01-18,12.59,13.35,13.41,12.49,86822,184793208.0,7.23,4.95,0.63,7.38
2010-01-19,13.23,13.59,13.93,13.2,62490,136720768.0,5.47,1.8,0.24,5.31
2010-01-20,13.65,13.04,13.85,12.93,60524,131288621.0,6.77,-4.05,-0.55,5.15
2010-01-21,13.01,13.23,13.52,12.86,54697,116757379.0,5.06,1.46,0.19,4.65
2010-01-22,13.22,12.82,13.22,12.26,66229,137574359.0,7.26,-3.1,-0.41,5.63
2010-01-25,12.71,12.45,12.86,12.13,59925,120914543.0,5.69,-2.89,-0.37,5.09
2010-01-26,12.38,11.82,12.53,11.62,50695,99940184.0,7.31,-5.06,-0.63,4.31
2010-01-27,11.83,11.76,12.13,11.66,31592,61489706.0,3.98,-0.51,-0.06,2.69
2010-01-28,11.82,12.51,12.59,11.8,65261,131042789.0,6.72,6.38,0.75,5.55
2010-01-29,12.39,12.59,12.77,12.23,56904,116504394.0,4.32,0.64,0.08,4.84
2010-02-01,12.43,13.05,13.06,12.36,55909,116562009.0,5.56,3.65,0.46,4.75
2010-02-02,13.07,12.75,13.21,12.53,42407,88515407.0,5.21,-2.3,-0.3,3.61
2010-02-03,12.74,12.75,13.1,11.98,70040,143381500.0,8.78,0.0,0.0,5.95
2010-02-04,12.59,12.87,13.27,12.41,74988,157867364.0,6.75,0.94,0.12,6.38
2010-02-05,12.56,12.89,13.35,12.53,71783,150697032.0,6.37,0.16,0.02,6.1
2010-02-08,12.84,12.95,13.06,12.67,31977,66897258.0,3.03,0.47,0.06,2.72
2010-02-09,13.05,12.68,13.05,12.55,30020,62146811.0,3.86,-2.08,-0.27,2.55
2010-02-10,12.65,12.71,12.81,12.37,35519,72746430.0,3.47,0.24,0.03,3.02
2010-02-11,12.65,12.28,12.69,12.27,29233,59249649.0,3.3,-3.38,-0.43,2.49
2010-02-12,12.34,12.77,12.83,12.28,30171,61737527.0,4.48,3.99,0.49,2.57
2010-02-22,12.73,12.81,12.99,12.63,25467,53178124.0,2.82,0.31,0.04,2.17
2010-02-23,12.85,12.93,12.99,12.51,30925,64419384.0,3.75,0.94,0.12,2.63
2010-02-24,12.79,13.14,13.19,12.76,35259,74838529.0,3.33,1.62,0.21,3.0
2010-02-25,13.16,13.26,13.3,13.07,48484,103757401.0,1.75,0.91,0.12,4.12
2010-02-26,13.27,13.29,13.45,13.07,44395,95578528.0,2.87,0.23,0.03,3.77
2010-03-01,13.06,13.36,13.45,13.06,34329,74104430.0,2.93,0.53,0.07,2.92
2010-03-02,13.39,13.17,13.59,13.13,43494,93965670.0,3.44,-1.42,-0.19,3.7
2010-03-03,13.15,13.06,13.26,13.01,36592,77788425.0,1.9,-0.84,-0.11,3.11
2010-03-04,13.19,13.01,13.19,12.84,43502,91597652.0,2.68,-0.38,-0.05,3.7
2010-03-05,12.96,13.12,13.29,12.79,28969,61546865.0,3.84,0.85,0.11,2.46
2010-03-08,13.11,13.09,13.38,13.04,25704,55084058.0,2.59,-0.23,-0.03,2.19
2010-03-09,13.09,12.94,13.13,12.79,25956,54336935.0,2.6,-1.15,-0.15,2.21
2010-03-10,12.84,12.55,13.02,12.35,35114,71837380.0,5.18,-3.01,-0.39,2.99
2010-03-11,12.46,12.24,12.55,12.16,25419,50889711.0,3.11,-2.47,-0.31,2.16
2010-03-12,12.23,12.23,12.42,12.17,26058,52066481.0,2.04,-0.08,-0.01,2.22
2010-03-15,12.2,12.21,12.37,11.99,25440,50408861.0,3.11,-0.16,-0.02,2.16
2010-03-16,12.22,12.25,12.29,12.09,12478,24828919.0,1.64,0.33,0.04,1.06
2010-03-17,12.33,12.55,12.57,12.33,27429,55766263.0,1.96,2.45,0.3,2.33
2010-03-18,12.53,12.48,12.61,12.45,18908,38542305.0,1.27,-0.56,-0.07,1.61
2010-03-19,12.54,12.52,12.59,12.26,30822,62285241.0,2.64,0.32,0.04,2.62
2010-03-22,12.61,12.9,12.91,12.61,64063,133214676.0,2.4,3.04,0.38,5.45
2010-03-23,12.89,12.69,12.9,12.65,30708,63647285.0,1.94,-1.63,-0.21,2.61
2010-03-24,12.73,12.57,12.78,12.49,22592,46231011.0,2.29,-0.95,-0.12,1.92
2010-03-25,12.53,12.29,12.53,12.27,22814,46011415.0,2.07,-2.23,-0.28,1.94
2010-03-26,12.19,12.68,12.78,12.01,56013,113647737.0,6.27,3.17,0.39,4.76
2010-03-29,12.66,12.59,12.72,12.48,28957,59257197.0,1.89,-0.71,-0.09,2.46
2010-03-30,12.63,12.66,12.84,12.59,25606,52859942.0,1.99,0.56,0.07,2.18
2010-03-31,12.62,12.83,12.89,12.62,29232,60817646.0,2.13,1.34,0.17,2.49
2010-04-01,12.87,12.97,13.01,12.77,31641,66331392.0,1.87,1.09,0.14,2.69
2010-04-02,13.11,12.97,13.11,12.77,24709,51682369.0,2.62,0.0,0.0,2.1
2010-04-06,13.04,12.89,13.04,12.77,21016,43835674.0,2.08,-0.62,-0.08,1.79
2010-04-07,12.89,12.85,12.99,12.77,18352,38386088.0,1.71,-0.31,-0.04,1.56
2010-04-08,12.83,12.93,12.98,12.76,23650,49492266.0,1.71,0.62,0.08,2.01
2010-04-09,13.01,13.65,13.83,13.01,93993,204685854.0,6.34,5.57,0.72,7.99
2010-04-12,13.63,14.11,14.31,13.59,93564,212318563.0,5.27,3.37,0.46,7.95
2010-04-13,14.04,13.91,14.17,13.39,60504,134574504.0,5.53,-1.42,-0.2,5.14
2010-04-14,13.81,14.38,14.58,13.61,64154,148151333.0,6.97,3.38,0.47,5.45
2010-04-15,14.39,14.02,14.53,13.93,56392,129390040.0,4.17,-2.5,-0.36,4.79
2010-04-16,14.01,13.6,14.01,13.59,42916,95355423.0,3.0,-3.0,-0.42,3.65
2010-04-19,13.59,13.46,13.91,13.38,72111,159128811.0,3.9,-1.03,-0.14,6.13
2010-04-20,13.26,13.73,13.73,13.13,35886,78501949.0,4.46,2.01,0.27,3.05
2010-04-21,13.71,14.35,14.46,13.45,56995,129562521.0,7.36,4.52,0.62,4.85
2010-04-22,14.35,14.86,14.99,14.13,79647,189113958.0,5.99,3.55,0.51,6.77
2010-04-23,14.85,14.54,14.85,14.25,48958,115355456.0,4.04,-2.15,-0.32,4.16
2010-04-26,14.66,15.05,15.15,14.33,48662,116440099.0,5.64,3.51,0.51,4.14
2010-04-27,14.99,14.94,15.03,14.37,39702,94483924.0,4.39,-0.73,-0.11,3.38
2010-04-28,14.79,14.93,15.14,14.4,38912,92789667.0,4.95,-0.07,-0.01,3.31
2010-04-29,14.94,13.42,15.05,13.39,68851,156204474.0,11.12,-10.11,-1.51,5.85
2010-04-30,13.19,13.29,13.36,12.32,30693,64494299.0,7.75,-0.97,-0.13,2.61
2010-05-04,12.93,13.43,13.74,12.81,24309,53008990.0,7.0,1.05,0.14,2.07
2010-05-05,13.36,13.17,13.51,12.86,43623,93097901.0,4.84,-1.94,-0.26,3.71
2010-05-06,13.06,12.25,13.12,12.19,52023,108639053.0,7.06,-6.99,-0.92,4.42
2010-05-07,11.97,12.53,12.54,11.6,35017,70140144.0,7.67,2.29,0.28,2.98
