日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-10-11,11.33,13.74,13.74,11.33,187,374824.0,25.83,47.27,4.41,0.04
2016-10-12,15.18,15.18,15.18,15.18,67,148807.0,0.0,10.48,1.44,0.02
2016-10-13,16.77,16.77,16.77,16.77,58,141694.0,0.0,10.47,1.59,0.01
2016-10-14,18.51,18.51,18.51,18.51,104,279448.0,0.0,10.38,1.74,0.02
2016-10-17,20.43,20.43,20.43,20.43,128,378427.0,0.0,10.37,1.92,0.03
2016-10-18,22.54,22.54,22.54,22.54,226,734985.0,0.0,10.33,2.11,0.05
2016-10-19,24.87,24.87,24.87,24.87,653,2335781.0,0.0,10.34,2.33,0.15
2016-10-20,27.42,27.42,27.42,27.42,674,2652190.0,0.0,10.25,2.55,0.16
2016-10-21,30.24,30.24,30.24,30.24,2399,10386397.0,0.0,10.28,2.82,0.55
2016-10-24,30.24,29.07,30.24,28.04,207262,859462480.0,7.28,-3.87,-1.17,47.76
2016-10-25,28.71,32.05,32.05,28.46,184241,809554912.0,12.35,10.25,2.98,42.45
2016-10-26,31.67,30.78,31.9,30.46,165289,735890896.0,4.49,-3.96,-1.27,38.09
2016-10-27,31.53,32.04,33.27,31.24,158321,728532416.0,6.6,4.09,1.26,36.48
2016-10-28,31.82,34.82,35.31,31.54,212421,1041895728.0,11.77,8.68,2.78,48.94
2016-10-31,33.58,33.59,33.94,32.53,133211,631798816.0,4.05,-3.53,-1.23,30.69
2016-11-01,33.14,34.17,35.32,32.98,134862,661882208.0,6.97,1.73,0.58,31.07
2016-11-02,33.49,35.2,37.01,32.99,154832,769235152.0,11.76,3.01,1.03,35.68
2016-11-03,34.81,34.29,36.77,34.09,146420,741576784.0,7.61,-2.59,-0.91,33.74
2016-11-04,33.69,35.02,35.12,33.68,101353,498102640.0,4.2,2.13,0.73,23.35
2016-11-07,35.29,35.68,36.37,34.46,97005,491794416.0,5.45,1.88,0.66,22.35
2016-11-08,35.64,35.37,35.84,34.89,71865,362758864.0,2.66,-0.87,-0.31,16.56
2016-11-09,35.23,36.04,36.85,34.37,127912,653154640.0,7.01,1.89,0.67,29.47
2016-11-10,36.32,39.71,39.71,36.07,123061,673257504.0,10.1,10.18,3.67,28.36
2016-11-11,40.96,42.13,43.75,40.53,209189,1267219216.0,8.11,6.09,2.42,48.2
2016-11-14,40.81,40.57,41.82,38.99,117941,680780896.0,6.72,-3.7,-1.56,27.18
2016-11-15,40.32,39.42,41.1,39.32,71771,407481552.0,4.39,-2.83,-1.15,16.54
2016-11-16,39.49,36.73,39.6,36.46,101895,547544144.0,7.97,-6.82,-2.69,23.48
2016-11-17,36.41,37.24,37.82,36.41,60614,322087792.0,3.84,1.39,0.51,13.97
2016-11-18,37.17,37.35,38.58,37.1,56365,303489968.0,3.97,0.3,0.11,12.99
2016-11-21,37.36,37.77,37.88,35.99,67756,355950448.0,5.06,1.12,0.42,15.61
2016-11-22,37.79,38.26,38.71,37.53,71139,386362720.0,3.12,1.3,0.49,16.39
2016-11-23,38.24,36.77,38.66,36.53,55542,297195728.0,5.57,-3.89,-1.49,12.8
2016-11-24,36.49,35.47,37.03,35.07,54870,281509792.0,5.33,-3.54,-1.3,12.64
2016-11-25,35.39,35.77,36.0,33.89,42765,213643009.0,5.95,0.85,0.3,9.85
2016-11-28,35.62,34.74,35.62,34.67,24934,124630861.0,2.66,-2.88,-1.03,5.75
2016-11-29,34.67,33.21,35.02,33.1,33149,161569342.0,5.53,-4.4,-1.53,7.64
2016-11-30,33.17,33.03,33.38,32.42,26357,123850144.0,2.89,-0.54,-0.18,6.07
2016-12-01,33.07,34.17,34.67,33.07,41080,198805262.0,4.84,3.45,1.14,9.47
2016-12-02,33.96,33.52,34.83,33.46,42099,206113217.0,4.01,-1.9,-0.65,9.7
2016-12-05,32.6,32.57,33.42,32.39,24730,115963928.0,3.07,-2.83,-0.95,5.7
2016-12-06,32.87,33.07,33.58,32.74,21787,103268899.0,2.58,1.54,0.5,5.02
2016-12-07,33.11,34.07,34.08,32.67,29144,139203110.0,4.26,3.02,1.0,6.72
2016-12-08,33.82,32.97,34.21,32.92,26486,127184101.0,3.79,-3.23,-1.1,6.1
2016-12-09,32.82,32.13,33.09,31.82,30792,142507832.0,3.85,-2.55,-0.84,7.1
2016-12-12,32.03,29.55,32.03,29.22,37194,161363030.0,8.75,-8.03,-2.58,8.57
2016-12-13,29.33,29.73,30.19,28.77,22529,95171088.0,4.81,0.61,0.18,5.19
2016-12-14,29.46,28.96,29.72,28.89,17928,75168621.0,2.79,-2.59,-0.77,4.13
2016-12-15,28.96,29.3,29.88,28.71,20079,84622791.0,4.04,1.17,0.34,4.63
2016-12-16,29.46,29.86,30.14,29.17,20558,87244854.0,3.31,1.91,0.56,4.74
2016-12-19,29.79,29.37,29.82,29.23,13876,58439684.0,1.98,-1.64,-0.49,3.2
2016-12-20,29.24,29.59,29.71,28.82,13572,57305279.0,3.03,0.75,0.22,3.13
