日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.17,7.96,8.17,7.95,16855,29464503.0,2.73,-1.36,-0.11,0.43
2010-01-05,7.92,7.73,7.99,7.69,31492,53208864.0,3.77,-2.89,-0.23,0.81
2010-01-06,7.73,7.62,7.82,7.59,37976,63692371.0,2.98,-1.42,-0.11,0.98
2010-01-07,7.72,7.77,7.87,7.64,34021,57569391.0,3.02,1.97,0.15,0.88
2010-01-08,7.77,7.72,7.8,7.52,23268,38906432.0,3.6,-0.64,-0.05,0.6
2010-01-11,7.95,7.75,8.11,7.71,36613,62858459.0,5.18,0.39,0.03,0.94
2010-01-12,7.76,7.74,7.8,7.55,32551,54590914.0,3.23,-0.13,-0.01,0.84
2010-01-13,7.55,7.49,7.69,7.45,32616,53764620.0,3.1,-3.23,-0.25,0.84
2010-01-14,7.5,7.38,7.57,7.25,53758,86714468.0,4.27,-1.47,-0.11,1.38
2010-01-15,7.39,7.53,7.69,7.35,41701,68676328.0,4.61,2.03,0.15,1.07
2010-01-18,7.54,8.02,8.1,7.53,82460,141730585.0,7.57,6.51,0.49,2.12
2010-01-19,8.01,7.9,8.04,7.8,47550,81767930.0,2.99,-1.5,-0.12,1.22
2010-01-20,7.9,7.76,8.15,7.67,58494,100775339.0,6.08,-1.77,-0.14,1.5
2010-01-21,7.71,7.52,7.78,7.45,37304,61571649.0,4.25,-3.09,-0.24,0.96
2010-01-22,7.51,7.19,7.51,6.93,46838,74006751.0,7.71,-4.39,-0.33,1.2
2010-01-25,7.17,7.2,7.25,7.0,22580,35405412.0,3.48,0.14,0.01,0.58
2010-01-26,7.17,6.68,7.25,6.65,35314,53870130.0,8.33,-7.22,-0.52,0.91
2010-01-27,6.68,6.39,6.84,6.38,31345,45635769.0,6.89,-4.34,-0.29,0.81
2010-01-28,6.39,6.16,6.39,6.04,94003,128779034.0,5.48,-3.6,-0.23,2.42
2010-01-29,6.15,6.15,6.28,6.1,48188,66408287.0,2.92,-0.16,-0.01,1.24
2010-02-01,6.18,6.01,6.23,5.87,39514,52672058.0,5.85,-2.28,-0.14,1.02
2010-02-02,6.02,6.03,6.17,5.98,30915,42018419.0,3.16,0.33,0.02,0.8
2010-02-03,5.97,6.17,6.19,5.8,30006,40492522.0,6.47,2.32,0.14,0.77
2010-02-04,6.19,6.12,6.23,6.05,33641,46181973.0,2.92,-0.81,-0.05,0.87
2010-02-05,6.01,5.94,6.01,5.81,34520,45421507.0,3.27,-2.94,-0.18,0.89
2010-02-08,5.97,5.81,5.97,5.79,22600,29558219.0,3.03,-2.19,-0.13,0.58
2010-02-09,5.85,5.88,5.91,5.8,21202,27818920.0,1.89,1.2,0.07,0.55
2010-02-10,5.94,5.98,6.0,5.87,18231,24133041.0,2.21,1.7,0.1,0.47
2010-02-11,6.02,6.11,6.18,6.0,30439,41537830.0,3.01,2.17,0.13,0.78
2010-02-12,6.11,6.17,6.2,6.06,23226,31781550.0,2.29,0.98,0.06,0.6
2010-02-22,6.17,6.08,6.24,6.07,19218,26255456.0,2.76,-1.46,-0.09,0.49
2010-02-23,6.08,6.01,6.14,5.95,23519,31619166.0,3.13,-1.15,-0.07,0.6
2010-02-24,6.01,6.68,6.68,5.92,66658,94668544.0,12.65,11.15,0.67,1.71
2010-02-25,6.68,6.89,7.21,6.55,98001,148277281.0,9.88,3.14,0.21,2.52
2010-02-26,6.87,6.84,6.94,6.75,36562,55211595.0,2.76,-0.73,-0.05,0.94
2010-03-01,6.76,6.9,7.04,6.76,37097,56635151.0,4.09,0.88,0.06,0.95
2010-03-03,6.9,6.91,6.94,6.81,33996,51571475.0,1.88,0.14,0.01,0.87
2010-03-04,6.94,6.95,7.14,6.91,79283,122116396.0,3.33,0.58,0.04,2.04
2010-03-05,7.0,6.79,7.04,6.7,43454,65287743.0,4.89,-2.3,-0.16,1.12
2010-03-08,6.79,6.59,6.84,6.45,72369,105220149.0,5.74,-2.95,-0.2,1.86
2010-03-09,6.5,6.59,6.67,6.39,48394,69777528.0,4.25,0.0,0.0,1.24
2010-03-10,6.54,6.59,6.64,6.37,59744,86018300.0,4.1,0.0,0.0,1.54
2010-03-11,6.54,6.43,6.57,6.39,29740,42693089.0,2.73,-2.43,-0.16,0.76
2010-03-12,6.5,6.23,6.5,6.16,47351,66274270.0,5.29,-3.11,-0.2,1.22
2010-03-15,6.14,6.18,6.22,6.0,26041,35510968.0,3.53,-0.8,-0.05,0.67
2010-03-16,6.2,6.22,6.29,6.12,13152,18170138.0,2.75,0.65,0.04,0.34
2010-03-17,6.27,6.53,6.56,6.21,48717,69265369.0,5.63,4.98,0.31,1.25
2010-03-18,6.54,6.55,6.64,6.52,36974,53712877.0,1.84,0.31,0.02,0.95
2010-03-19,6.55,6.6,6.61,6.49,27542,40021582.0,1.83,0.76,0.05,0.71
2010-03-22,6.61,6.94,6.99,6.61,90999,137625019.0,5.76,5.15,0.34,2.34
2010-03-23,6.95,7.03,7.19,6.95,84779,131977988.0,3.46,1.3,0.09,2.18
2010-03-24,7.07,7.05,7.14,6.95,77147,119352588.0,2.7,0.28,0.02,1.98
2010-03-25,7.06,7.2,7.22,7.03,117612,184454344.0,2.7,2.13,0.15,3.03
2010-03-26,7.25,7.58,7.68,7.15,158496,259036003.0,7.36,5.28,0.38,4.08
