日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2013-12-19,4.86,5.15,5.54,4.75,2774659,2439180464.0,30.62,99.61,2.57,45.62
2013-12-20,4.48,4.47,4.61,4.47,331146,265410796.0,2.72,-13.2,-0.68,5.44
2013-12-23,3.85,4.01,4.34,3.85,1514653,1115784576.0,10.96,-10.29,-0.46,24.9
2013-12-24,3.93,4.11,4.16,3.8,1207823,888552192.0,8.98,2.49,0.1,19.86
2013-12-25,3.99,3.97,4.14,3.92,842498,621184016.0,5.35,-3.41,-0.14,13.85
2013-12-26,3.9,3.87,4.08,3.79,702194,511828960.0,7.3,-2.52,-0.1,11.55
2013-12-27,3.81,3.92,4.04,3.79,668387,487258480.0,6.46,1.29,0.05,10.99
2013-12-30,3.94,3.64,3.98,3.61,858977,610047840.0,9.44,-7.14,-0.28,14.12
2013-12-31,3.55,3.52,3.61,3.44,616967,417556720.0,4.67,-3.3,-0.12,10.14
2014-01-02,3.51,3.57,3.63,3.51,445452,303900512.0,3.41,1.42,0.05,7.32
2014-01-03,3.54,3.5,3.57,3.35,606904,404486064.0,6.16,-1.96,-0.07,9.98
2014-01-06,3.47,3.53,3.68,3.44,569597,388626464.0,6.86,0.86,0.03,9.37
2014-01-07,3.5,3.46,3.52,3.38,313350,208980863.0,3.97,-1.98,-0.07,5.15
2014-01-08,3.44,3.51,3.64,3.41,469374,318113664.0,6.65,1.45,0.05,7.72
2014-01-09,3.46,3.34,3.52,3.31,430981,286285040.0,5.98,-4.84,-0.17,7.09
2014-01-10,3.31,3.24,3.38,3.19,393364,253386486.0,5.69,-2.99,-0.1,6.47
2014-01-13,3.25,3.02,3.29,2.99,423988,264653381.0,9.26,-6.79,-0.22,6.97
2014-01-14,3.01,3.04,3.07,2.94,338162,206293890.0,4.3,0.66,0.02,5.56
2014-01-15,3.05,2.98,3.05,2.94,291269,176566111.0,3.62,-1.97,-0.06,4.79
2014-01-16,2.98,3.29,3.44,2.97,932881,602315888.0,15.77,10.4,0.31,15.34
2014-01-17,3.19,3.05,3.25,3.03,525635,328968976.0,6.69,-7.29,-0.24,8.64
2014-01-20,3.01,3.04,3.12,2.98,231580,142312321.0,4.59,-0.33,-0.01,3.81
2014-01-21,3.02,3.14,3.24,3.02,367662,229930169.0,7.24,3.29,0.1,6.05
2014-01-22,3.09,3.24,3.3,3.08,470710,299584704.0,7.01,3.18,0.1,7.74
2014-01-23,3.22,3.16,3.23,3.13,371079,233897289.0,3.09,-2.47,-0.08,6.1
2014-01-24,3.14,3.22,3.28,3.12,400577,254663757.0,5.06,1.9,0.06,6.59
2014-01-27,3.18,3.06,3.2,3.04,358132,222293807.0,4.97,-4.97,-0.16,5.89
2014-01-28,3.12,3.23,3.38,3.08,595110,381004000.0,9.8,5.56,0.17,9.79
2014-01-29,3.19,3.18,3.24,3.12,335056,210961077.0,3.72,-1.55,-0.05,5.51
2014-01-30,3.16,3.09,3.16,3.06,171366,106500130.0,3.14,-2.83,-0.09,2.82
